position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Sunderland AFC,38,23,6,9,97:62,35,52:24
2,Derby County,38,17,11,10,55:41,14,45:31
3,Huddersfield Town,38,17,10,11,53:50,3,44:32
4,Arsenal FC,38,14,14,10,74:43,31,42:34
5,Stoke City,38,18,6,14,54:53,1,42:34
6,Brentford FC,38,15,10,13,69:57,12,40:36
7,Preston North End,38,16,8,14,59:54,5,40:36
8,Birmingham FC,38,14,11,13,54:49,5,39:37
9,Middlesbrough FC,38,15,8,15,84:65,19,38:38
10,Manchester City,38,16,6,16,63:54,9,38:38
11,Bolton Wanderers,38,13,12,13,62:70,-8,38:38
12,Leeds United,38,14,9,15,60:55,5,37:39
13,Portsmouth FC,38,15,7,16,47:60,-13,37:39
14,Chelsea FC,38,13,11,14,51:65,-14,37:39
15,Wolverhampton Wanderers,38,14,8,16,67:69,-2,36:40
16,Everton FC,38,11,13,14,78:79,-1,35:41
17,Grimsby Town,38,15,5,18,56:67,-11,35:41
18,Liverpool FC,38,12,10,16,55:61,-6,34:42
19,Sheffield Wednesday,38,12,10,16,60:76,-16,34:42
20,West Bromwich Albion,38,14,4,20,81:83,-2,32:44
21,Aston Villa,38,12,8,18,74:102,-28,32:44
22,Blackburn Rovers,38,10,9,19,46:84,-38,29:47
