position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,24,8,6,76:27,49,56:20
2,Manchester United,38,21,10,7,57:31,26,52:24
3,Ipswich Town,38,19,9,10,62:37,25,47:29
4,Arsenal FC,38,17,13,8,49:34,15,47:29
5,Wolverhampton Wanderers,38,18,7,13,54:44,10,43:33
6,Nottingham Forest,38,18,6,14,58:43,15,42:34
7,Southampton FC,38,16,9,13,59:48,11,41:35
8,Middlesbrough FC,38,15,11,12,47:38,9,41:35
9,Aston Villa,38,14,13,11,47:46,1,41:35
10,West Bromwich Albion,38,11,16,11,53:48,5,38:38
11,Leeds United,38,12,13,13,43:46,-3,37:39
12,Crystal Palace,38,11,15,12,39:44,-5,37:39
13,Coventry City,38,15,7,16,53:59,-6,37:39
14,Tottenham Hotspur,38,14,9,15,48:57,-9,37:39
15,Norwich City,38,11,14,13,51:58,-7,36:40
16,Brighton & Hove Albion,38,10,14,14,45:52,-7,34:42
17,Stoke City,38,11,10,17,40:54,-14,32:44
18,Everton FC,38,8,15,15,41:48,-7,31:45
19,Manchester City,38,9,13,16,35:60,-25,31:45
20,Bristol City,38,8,12,18,32:59,-27,28:48
21,Derby County,38,9,8,21,39:61,-22,26:50
22,Bolton Wanderers,38,4,14,20,35:69,-34,22:54
