position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,26,4,8,84:47,37,56:20
2,Wolverhampton Wanderers,38,20,9,9,83:38,45,49:27
3,Charlton Athletic,38,20,6,12,69:53,16,46:30
4,Derby County,38,19,7,12,64:47,17,45:31
5,Middlesbrough FC,38,18,8,12,87:69,18,44:32
6,Arsenal FC,38,16,9,13,49:38,11,41:35
7,Liverpool FC,38,14,13,11,60:55,5,41:35
8,Stoke City,38,15,11,12,69:66,3,41:35
9,Aston Villa,38,16,8,14,69:51,18,40:36
10,Bolton Wanderers,38,14,12,12,63:56,7,40:36
11,Preston North End,38,15,10,13,58:55,3,40:36
12,Leeds United,38,15,8,15,56:61,-5,38:38
13,Grimsby Town,38,13,11,14,53:66,-13,37:39
14,Brentford FC,38,14,7,17,52:67,-15,35:41
15,Manchester United,38,9,15,14,51:63,-12,33:43
16,Sunderland AFC,38,12,9,17,51:65,-14,33:43
17,Blackpool FC,38,10,13,15,48:64,-16,33:43
18,Portsmouth FC,38,10,13,15,42:66,-24,33:43
19,Huddersfield Town,38,10,10,18,52:60,-8,30:46
20,Chelsea FC,38,11,7,20,60:75,-15,29:47
21,Leicester City,38,9,10,19,46:75,-29,28:48
22,Birmingham FC,38,8,8,22,53:82,-29,24:52
