position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,24,7,7,71:27,44,79
2,Liverpool FC,38,21,7,10,65:37,28,70
3,Tottenham Hotspur,38,19,8,11,61:39,22,65
4,Arsenal FC,38,18,10,10,51:28,23,64
5,Luton Town,38,17,11,10,43:39,4,62
6,Norwich City,38,15,16,7,49:48,1,61
7,Nottingham Forest,38,16,11,11,59:47,12,59
8,Coventry City,38,16,9,13,46:42,4,57
9,Watford FC,38,16,8,14,63:51,12,56
10,Wimbledon FC,38,15,9,14,50:48,2,54
11,Manchester United,38,13,13,12,48:38,10,52
12,Queens Park Rangers,38,13,10,15,44:50,-6,49
13,Chelsea FC,38,12,12,14,46:57,-11,48
14,West Ham United,38,13,9,16,49:61,-12,48
15,Southampton FC,38,13,7,18,64:64,0,46
16,Sheffield Wednesday,38,11,12,15,49:55,-6,45
17,Newcastle United,38,11,10,17,44:59,-15,43
18,Oxford United,38,10,12,16,40:63,-23,42
19,Leicester City,38,11,7,20,51:70,-19,40
20,Charlton Athletic,38,9,10,19,38:51,-13,37
21,Aston Villa,38,7,12,19,38:72,-34,33
22,Manchester City,38,6,14,18,32:55,-23,32
