position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,24,9,5,83:29,54,81
2,Manchester United,38,18,12,8,51:30,21,66
3,Watford FC,38,20,4,14,67:50,17,64
4,Tottenham Hotspur,38,18,8,12,57:45,12,62
5,Aston Villa,38,19,4,15,54:46,8,61
6,Nottingham Forest,38,18,7,13,53:45,8,61
7,West Ham United,38,18,4,16,62:56,6,58
8,Stoke City,38,16,8,14,52:53,-1,56
9,Arsenal FC,38,15,10,13,53:51,2,55
10,Everton FC,38,15,9,14,57:46,11,54
11,Southampton FC,38,14,11,13,49:52,-3,53
12,Ipswich Town,38,14,10,14,59:47,12,52
13,Norwich City,38,13,10,15,47:53,-6,49
14,West Bromwich Albion,38,12,11,15,47:48,-1,47
15,Coventry City,38,12,9,17,43:53,-10,45
16,Sunderland AFC,38,11,12,15,43:56,-13,45
17,Notts County,38,13,6,19,51:67,-16,45
18,Luton Town,38,11,11,16,61:77,-16,44
19,Manchester City,38,11,8,19,43:67,-24,41
20,Birmingham City,38,9,13,16,34:53,-19,40
21,Brighton & Hove Albion,38,9,12,17,36:63,-27,39
22,Swansea City,38,9,10,19,47:62,-15,37
