position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Arsenal FC,38,27,6,5,67:26,41,60:16
2,Leeds United,38,24,10,4,65:28,37,58:18
3,Chelsea FC,38,17,13,8,49:39,10,47:29
4,Wolverhampton Wanderers,38,20,7,11,61:52,9,47:29
5,Tottenham Hotspur,38,17,12,9,50:32,18,46:30
6,Liverpool FC,38,15,15,8,38:22,16,45:31
7,Southampton FC,38,16,12,10,54:38,16,44:32
8,Manchester City,38,12,15,11,44:36,8,39:37
9,Newcastle United,38,13,12,13,40:42,-2,38:38
10,Manchester United,38,14,10,14,56:59,-3,38:38
11,Coventry City,38,14,9,15,31:36,-5,37:39
12,Derby County,38,13,9,16,49:52,-3,35:41
13,Everton FC,38,11,12,15,52:55,-3,34:42
14,Stoke City,38,11,12,15,42:46,-4,34:42
15,Huddersfield Town,38,10,13,15,37:44,-7,33:43
16,Crystal Palace,38,11,11,16,33:47,-14,33:43
17,Nottingham Forest,38,13,7,18,39:56,-17,33:43
18,West Bromwich Albion,38,9,14,15,54:67,-13,32:44
19,Ipswich Town,38,11,8,19,38:45,-7,30:46
20,West Ham United,38,8,13,17,43:57,-14,29:47
21,Burnley FC,38,6,13,19,27:57,-30,25:51
22,Blackpool FC,38,3,13,22,28:61,-33,19:57
