position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Wolverhampton Wanderers,38,19,9,10,67:46,21,47:29
2,Arsenal FC,38,18,10,10,68:40,28,46:30
3,Preston North End,38,15,15,8,61:41,20,45:31
4,Middlesbrough FC,38,18,7,13,66:57,9,43:33
5,Brentford FC,38,17,8,13,64:52,12,42:34
6,Charlton Athletic,38,15,12,11,61:49,12,42:34
7,Bolton Wanderers,38,13,15,10,58:51,7,41:35
8,Sunderland AFC,38,12,16,10,52:54,-2,40:36
9,Leeds United,38,12,15,11,56:58,-2,39:37
10,Derby County,38,15,9,14,64:79,-15,39:37
11,Liverpool FC,38,14,10,14,62:66,-4,38:38
12,Chelsea FC,38,13,11,14,61:62,-1,37:39
13,Blackpool FC,38,15,7,16,56:59,-3,37:39
14,Stoke City,38,12,12,14,54:52,2,36:40
15,Everton FC,38,14,6,18,70:70,0,34:42
16,Birmingham FC,38,8,18,12,49:53,-4,34:42
17,Leicester City,38,12,10,16,49:69,-20,34:42
18,Manchester City,38,13,7,18,73:72,1,33:43
19,Huddersfield Town,38,14,5,19,48:63,-15,33:43
20,Portsmouth FC,38,10,12,16,52:63,-11,32:44
21,West Bromwich Albion,38,12,8,18,63:80,-17,32:44
22,Grimsby Town,38,10,12,16,46:64,-18,32:44
