Season,Top scorer,Team,goals
1901/1902,Jimmy Settle,Everton FC,18
1900/1901,Steve Bloomer,Derby County,23
1899/1900,Billy Garraty,Aston Villa,27
1898/1899,Steve Bloomer,Derby County,23
1897/1898,Fred Wheldon,Aston Villa,21
1896/1897,Steve Bloomer,Derby County,22
1895/1896,Steve Bloomer,Derby County,20
1895/1896,John Campbell,Aston Villa,20
1894/1895,Johnny Campbell,Sunderland AFC,22
1893/1894,Jack Southworth,Everton FC,27
1892/1893,Johnny Campbell,Sunderland AFC,31
1891/1892,Johnny Campbell,Sunderland AFC,32
1890/1891,Jack Southworth,Blackburn Rovers,26
1889/1890,Jimmy Ross,Preston North End,21
1888/1889,John Goodall,Preston North End,21
