,#,Player,Country,Team,Goals,Penalty
109,110.,Brenden Aaronson,USA,Leeds United ,1,0
110,, Adama Traoré,Spain,Wolverhampton Wanderers ,1,0
111,,Tosin Adarabioyo,England,Fulham FC ,1,0
112,,Rayan Aït Nouri,France,Wolverhampton Wanderers ,1,0
113,,Trent Alexander-Arnold,England,Liverpool FC ,1,0
114,,Joachim Andersen,Denmark,Crystal Palace ,1,0
115,,Adam Armstrong,England,Southampton FC ,1,0
116,,Stuart Armstrong,Scotland,Southampton FC ,1,0
117,,Pierre-Emerick Aubameyang,Gabon,Chelsea FC ,1,0
118,,Sèrge Aurier,Ivory Coast,Nottingham Forest ,1,0
119,,Jordan Ayew,Ghana,Crystal Palace ,1,0
120,,Armando Broja,Albania,Chelsea FC ,1,0
121,,Moisés Caicedo,Ecuador,Brighton & Hove Albion ,1,0
122,,Dominic Calvert-Lewin,England,Everton FC ,1,0
123,, Carlos Vinícius,Brazil,Fulham FC ,1,0
124,,Timothy Castagne,Belgium,Leicester City ,1,0
125,,Ben Chilwell,England,Chelsea FC ,1,0
126,,Ryan Christie,Scotland,AFC Bournemouth ,1,0
127,,Conor Coady,England,"Everton FC 
Wolverhampton Wanderers ",1,0
128,,Liam Cooper,Scotland,Leeds United ,1,0
129,, Cristiano Ronaldo,Portugal,Manchester United ,1,0
130,,Emmanuel Dennis,Nigeria,Nottingham Forest ,1,0
131,,Lucas Digne,France,Aston Villa ,1,0
132,,Issa Diop,France,Fulham FC ,1,0
133,,Matt Doherty,Ireland,Tottenham Hotspur ,1,0
134,,Harvey Elliott,England,Liverpool FC ,1,0
135,,Christian Eriksen,Denmark,Manchester United ,1,0
136,, Fábio Vieira,Portugal,Arsenal FC ,1,0
137,,Conor Gallagher,England,Chelsea FC ,1,0
138,,Alejandro Garnacho,Argentina,Manchester United ,1,0
139,,Wilfried Gnonto,Italy,Leeds United ,1,0
140,, Gonçalo Guedes,Portugal,Wolverhampton Wanderers ,1,0
141,,Jack Grealish,England,Manchester City ,1,0
142,,Sam Greenwood,England,Leeds United ,1,0
143,,Jack Harrison,England,Leeds United ,1,0
144,,Kelechi Iheanacho,Nigeria,Leicester City ,1,0
145,,Alex Iwobi,Nigeria,Everton FC ,1,0
146,,Dan James,Wales,"Fulham FC 
Leeds United ",1,0
147,,Reece James,England,Chelsea FC ,1,0
148,,Mathias Jensen,Denmark,Brentford FC ,1,0
149,,Cheikhou Kouyaté,Senegal,Nottingham Forest ,1,0
150,,Dejan Kulusevski,Sweden,Tottenham Hotspur ,1,0
151,,Roméo Lavia,Belgium,Southampton FC ,1,0
152,,Sean Longstaff,England,Newcastle United ,1,0
153,, Lucas Paquetá,Brazil,West Ham United ,1,1
154,, Marc Roca,Spain,Leeds United ,1,0
155,,Jean-Philippe Mateta,France,Crystal Palace ,1,0
156,,Neal Maupay,France,"Brighton & Hove Albion 
Everton FC ",1,0
157,,Yerry Mina,Colombia,Everton FC ,1,0
158,,Jacob Murphy,England,Newcastle United ,1,0
159,,Christian Nørgaard,Denmark,Brentford FC ,1,0
160,,Lewis O'Brien,England,Nottingham Forest ,1,0
161,,Michael Olise,France,Crystal Palace ,1,0
162,,Alex Oxlade-Chamberlain,England,Liverpool FC ,1,0
163,, Pablo Fornals,Spain,West Ham United ,1,0
164,,Christian Pulišić,USA,Chelsea FC ,1,0
165,,Tim Ream,USA,Fulham FC ,1,0
166,,Declan Rice,England,West Ham United ,1,0
167,, Rodri,Spain,Manchester City ,1,0
168,,Allan Saint-Maximin,France,Newcastle United ,1,0
169,,Fabian Schär,Switzerland,Newcastle United ,1,0
170,,Luke Shaw,England,Manchester United ,1,0
171,,Tomáš Souček,Czech Republic,West Ham United ,1,0
172,, Stefan Bajčetić,Spain,Liverpool FC ,1,0
173,,Kieran Trippier,England,Newcastle United ,1,0
174,,Jamie Vardy,England,Leicester City ,1,0
175,,Kyle Walker-Peters,England,Southampton FC ,1,0
176,,Ashley Young,England,Aston Villa ,1,0
177,,Kurt Zouma,France,West Ham United ,1,0
